region,title,url,publish_date,source,language,title_for_nrc,sentiment,sentiment_score,anger,fear,joy,trust,sadness,surprise,disgust,anticipation
Venezuela,Delcy asegura que ella hace lo que le da la gana siempre y cuando Trump esté de acuerdo,https://www.elchiguirebipolar.net/26-01-2026/delcy-asegura-que-ella-hace-lo-que-le-da-la-gana-siempre-y-cuando-trump-este-de-acuerdo/,1/4/26,elchiguirebipolar.net,es,Delcy assures that she does whatever she wants as long as Trump agrees,neutral,0.7061,0,0,0,0,0,1,0,1
Venezuela,Trump y María Corina Machado se reunirán el jueves en la Casa Blanca,https://lanacionweb.com/internacional/trump-y-maria-corina-machado-se-reuniran-el-jueves-en-la-casa-blanca/,1/3/26,lanacionweb.com,es,Trump and María Corina Machado will meet on Thursday at the White House,neutral,0.8331,0,0,1,1,0,1,0,1
Venezuela,Rodríguez reitera que es la presidenta encargada de Venezuela tras foto manipulada de Trump,https://lanacionweb.com/nacional/rodriguez-reitera-que-es-la-presidenta-encargada-de-venezuela-tras-foto-manipulada-de-trump/,1/3/26,lanacionweb.com,es,Rodríguez reiterates that she is the president in charge of Venezuela after manipulated photo of Trump,neutral,0.5397,0,0,0,1,0,1,0,0
Venezuela,Advierte Trump a Cuba de que no recibirá más petróleo ni dinero de Venezuela,https://lanacionweb.com/internacional/advierte-trump-a-cuba-de-que-no-recibira-mas-petroleo-ni-dinero-de-venezuela/,1/3/26,lanacionweb.com,es,Trump warns Cuba that it will not receive more oil or money from Venezuela,negative,0.7292,1,0,1,1,0,2,0,1
Venezuela,Trump sugiere que dejará a ExxonMobil «fuera» de su plan para Venezuela,https://lanacionweb.com/internacional/trump-sugiere-que-dejara-a-exxonmobil-fuera-de-su-plan-para-venezuela/,1/3/26,lanacionweb.com,es,"Trump suggests he will leave ExxonMobil ""out"" of his plan for Venezuela",neutral,0.4958,0,0,0,0,1,2,0,1
Venezuela,Trump advierte a Cuba de que no recibirá más petróleo ni dinero de Venezuela,https://lanacionweb.com/internacional/trump-advierte-a-cuba-de-que-no-recibira-mas-petroleo-ni-dinero-de-venezuela/,1/3/26,lanacionweb.com,es,Trump warns Cuba that it will not receive more oil or money from Venezuela,negative,0.6933,1,0,1,1,0,2,0,1
Venezuela,"Mientras Trump promete a las petroleras ""seguridad total"" en Venezuela un ejecutivo dice el país es ""ininvertible"" hoy",https://www.aporrea.org/actualidad/n414287.html,1/10/26,aporrea.org,es,"While Trump promises oil companies ""total security"" in Venezuela, an executive says the country is ""uninvestable"" today",negative,0.5771,0,0,0,0,0,1,0,0
Venezuela,"(VIDEO) El riesgo no es Venezuela el riesgo es Trump, señalaron CEOs de las petroleras en la Casa Blanca",https://www.aporrea.org/actualidad/n414289.html,1/10/26,aporrea.org,es,"(VIDEO) The risk is not Venezuela, the risk is Trump, oil company CEOs said in the White House",neutral,0.5371,0,2,1,1,0,1,0,3
Venezuela,Trump firma orden ejecutiva para proteger los ingresos por la venta de petróleo venezolano,https://lacalle.com.ve/trump-firma-orden-ejecutiva-para-proteger-los-ingresos-por-la-venta-de-petroleo-venezolano/,1/10/26,lacalle.com.ve,es,Trump signs executive order to protect revenue from the sale of Venezuelan oil,positive,0.4506,0,0,0,0,0,1,0,0
Venezuela,Instituto Nobel dice que opositora venezolana Machado no puede dar su premio de la Paz a Trump,https://lacalle.com.ve/instituto-nobel-dice-que-opositora-venezolana-machado-no-puede-dar-su-premio-de-la-paz-a-trump/,1/10/26,lacalle.com.ve,es,Nobel Institute says that Venezuelan opponent Machado cannot give her Peace Prize to Trump,negative,0.7887,1,1,1,2,0,1,1,2
Venezuela,"Trump decreta una ""emergencia"" para proteger en EEUU las ventas del petróleo de Venezuela",https://elsiglo.com.ve/trump-decreta-una-emergencia-para-proteger-en-eeuu-las-ventas-del-petroleo-de-venezuela/,1/10/26,elsiglo.com.ve,es,"Trump declares an ""emergency"" to protect Venezuelan oil sales in the US",neutral,0.4591,0,1,0,0,1,2,0,0
Venezuela,Trump bloquea confiscación de fondos del petróleo venezolano,https://ultimasnoticias.com.ve/economia/petroleo/trump-bloquea-confiscacion-de-fondos-del-petroleo-venezolano/,1/10/26,ultimasnoticias.com.ve,es,Trump blocks confiscation of Venezuelan oil funds,negative,0.6923,0,0,0,0,0,1,0,0
Venezuela,"Trump decreta una ""emergencia"" para proteger en EEUU ventas del petróleo de Venezuela",https://efectococuyo.com/internacionales/trump-decreta-emergencia-para-proteger-en-eeuu-ventas-del-petroleo-de-venezuela/,1/10/26,efectococuyo.com,es,"Trump declares an ""emergency"" to protect Venezuelan oil sales in the US",neutral,0.4486,0,1,0,0,1,2,0,0
